X,Y,Z
806.2420,80.7500,1005.2906
807.2229,80.7500,1005.2938
808.2038,80.7500,1005.2971
809.1847,80.7500,1005.3003
810.1656,80.7500,1005.3035
811.1465,80.7500,1005.3068
812.1274,80.7500,1005.3100
813.1083,80.7500,1005.3133
814.0892,80.7500,1005.3165
815.0701,80.7500,1005.3197
816.0510,80.7500,1005.3230
817.0318,80.7500,1005.3262
818.0127,80.7500,1005.3294
818.9936,80.7500,1005.3327
819.9745,80.7500,1005.3359
820.9554,80.7500,1005.3392
821.9363,80.7500,1005.3424
822.9172,80.7500,1005.3456
823.8981,80.7500,1005.3489
824.8790,80.7500,1005.3521
825.8599,80.7500,1005.3553
826.8408,80.7500,1005.3586
827.8217,80.7500,1005.3618
828.8025,80.7500,1005.3650
829.7834,80.7500,1005.3683
830.7643,80.7500,1005.3715
831.7452,80.7500,1005.3748
832.7261,80.7500,1005.3780
833.7070,80.7500,1005.3812
834.6879,80.7500,1005.3845
835.6688,80.7500,1005.3877
836.6497,80.7500,1005.3909
837.6306,80.7500,1005.3942
838.6115,80.7500,1005.3974
839.5924,80.7500,1005.4007
840.5732,80.7500,1005.4039
841.5541,80.7500,1005.4071
842.5350,80.7500,1005.4104
843.5159,80.7500,1005.4136
844.4968,80.7500,1005.4168
845.4777,80.7500,1005.4201
846.4586,80.7500,1005.4233
847.4395,80.7500,1005.4266
848.4204,80.7500,1005.4298
849.4013,80.7500,1005.4330
850.3822,80.7500,1005.4363
851.3631,80.7500,1005.4395
852.3439,80.7500,1005.4427
853.3248,80.7500,1005.4460
854.3057,80.7500,1005.4492
855.2866,80.7500,1005.4524
856.2675,80.7500,1005.4557
857.2484,80.7500,1005.4589
858.2293,80.7500,1005.4622
859.2102,80.7500,1005.4654
860.1911,80.7500,1005.4686
861.1720,80.7500,1005.4719
862.1529,80.7500,1005.4751
863.1338,80.7500,1005.4783
864.1146,80.7500,1005.4816
865.0955,80.7500,1005.4848
866.0764,80.7500,1005.4881
867.0573,80.7500,1005.4913
868.0382,80.7500,1005.4945
869.0191,80.7500,1005.4978
100.0000,82.6750,1002.6788
100.9809,82.6750,1002.6820
101.9618,82.6750,1002.6853
102.9427,82.6750,1002.6885
103.9236,82.6750,1002.6917
104.9045,82.6750,1002.6950
105.8854,82.6750,1002.6982
106.8662,82.6750,1002.7015
107.8471,82.6750,1002.7047
108.8280,82.6750,1002.7079
109.8089,82.6750,1002.7112
110.7898,82.6750,1002.7144
111.7707,82.6750,1002.7176
112.7516,82.6750,1002.7209
113.7325,82.6750,1002.7241
114.7134,82.6750,1002.7274
115.6943,82.6750,1002.7306
116.6752,82.6750,1002.7338
117.6561,82.6750,1002.7371
118.6369,82.6750,1002.7403
119.6178,82.6750,1002.7435
120.5987,82.6750,1002.7468
121.5796,82.6750,1002.7500
122.5605,82.6750,1002.7533
123.5414,82.6750,1002.7565
124.5223,82.6750,1002.7597
125.5032,82.6750,1002.7630
126.4841,82.6750,1002.7662
127.4650,82.6750,1002.7694
128.4459,82.6750,1002.7727
129.4268,82.6750,1002.7759
130.4076,82.6750,1002.7791
131.3885,82.6750,1002.7824
132.3694,82.6750,1002.7856
133.3503,82.6750,1002.7889
134.3312,82.6750,1002.7921
135.3121,82.6750,1002.7953
136.2930,82.6750,1002.7986
137.2739,82.6750,1002.8018
138.2548,82.6750,1002.8050
139.2357,82.6750,1002.8083
140.2166,82.6750,1002.8115
141.1975,82.6750,1002.8148
142.1783,82.6750,1002.8180
143.1592,82.6750,1002.8212
144.1401,82.6750,1002.8245
145.1210,82.6750,1002.8277
146.1019,82.6750,1002.8309
147.0828,82.6750,1002.8342
148.0637,82.6750,1002.8374
149.0446,82.6750,1002.8406
150.0255,82.6750,1002.8439
151.0064,82.6750,1002.8471
151.9873,82.6750,1002.8504
152.9682,82.6750,1002.8536
153.9490,82.6750,1002.8568
154.9299,82.6750,1002.8601
155.9108,82.6750,1002.8633
156.8917,82.6750,1002.8665
157.8726,82.6750,1002.8698
158.8535,82.6750,1002.8730
159.8344,82.6750,1002.8763
160.8153,82.6750,1002.8795
161.7962,82.6750,1002.8827
162.7771,82.6750,1002.8860
163.7580,82.6750,1002.8892
164.7389,82.6750,1002.8924
165.7197,82.6750,1002.8957
166.7006,82.6750,1002.8989
167.6815,82.6750,1002.9021
168.6624,82.6750,1002.9054
169.6433,82.6750,1002.9086
170.6242,82.6750,1002.9119
171.6051,82.6750,1002.9151
172.5860,82.6750,1002.9183
173.5669,82.6750,1002.9216
174.5478,82.6750,1002.9248
175.5287,82.6750,1002.9280
176.5096,82.6750,1002.9313
177.4904,82.6750,1002.9345
178.4713,82.6750,1002.9378
179.4522,82.6750,1002.9410
180.4331,82.6750,1002.9442
181.4140,82.6750,1002.9475
182.3949,82.6750,1002.9507
183.3758,82.6750,1002.9539
184.3567,82.6750,1002.9572
